iter	Passed	Remaining
0	3	3454
1	6	3300
2	9	3021
3	11	2858
4	14	2793
5	16	2719
6	18	2694
7	21	2635
8	23	2574
9	25	2546
10	27	2514
11	30	2491
12	32	2480
13	34	2456
14	37	2438
15	39	2432
16	41	2422
17	44	2415
18	46	2412
19	48	2398
20	51	2388
21	53	2386
22	55	2376
23	58	2369
24	60	2363
25	62	2359
26	65	2354
27	67	2345
28	69	2337
29	72	2335
30	74	2329
31	76	2323
32	79	2319
33	81	2308
34	83	2298
35	85	2291
36	87	2285
37	90	2283
38	92	2280
39	94	2276
40	97	2270
41	99	2265
42	101	2258
43	103	2250
44	105	2245
45	107	2238
46	110	2230
47	112	2225
48	114	2219
49	116	2212
50	118	2206
51	120	2200
52	122	2193
53	124	2187
54	127	2182
55	129	2176
56	131	2171
57	133	2168
58	135	2163
59	137	2157
60	139	2154
61	142	2148
62	144	2143
63	146	2138
64	148	2134
65	150	2129
66	152	2125
67	154	2120
68	156	2115
69	158	2111
70	161	2106
71	163	2103
72	165	2098
73	167	2094
74	169	2091
75	171	2086
76	173	2084
77	175	2079
78	178	2075
79	180	2072
80	182	2068
81	184	2063
82	186	2061
83	188	2057
84	190	2053
85	192	2049
86	195	2047
87	197	2043
88	199	2039
89	201	2036
90	203	2033
91	205	2029
92	207	2026
93	210	2032
94	212	2028
95	215	2025
96	217	2022
97	219	2019
98	221	2016
99	223	2013
100	225	2009
101	227	2006
102	230	2003
103	232	1999
104	234	1996
105	236	1993
106	238	1989
107	240	1986
108	242	1983
109	245	1985
110	247	1982
111	249	1978
112	251	1975
113	253	1973
114	256	1970
115	258	1967
116	260	1964
117	262	1961
118	264	1959
119	266	1956
120	268	1953
121	271	1950
122	273	1948
123	275	1945
124	277	1942
125	279	1939
126	281	1937
127	284	1936
128	286	1934
129	288	1933
130	290	1930
131	293	1927
132	295	1925
133	297	1923
134	299	1921
135	301	1918
136	304	1915
137	306	1912
138	308	1909
139	310	1906
140	312	1903
141	314	1901
142	316	1898
143	318	1895
144	321	1893
145	323	1890
146	325	1887
147	327	1885
148	329	1882
149	331	1879
150	333	1876
151	336	1874
152	338	1871
153	340	1869
154	342	1866
155	344	1864
156	346	1861
157	348	1859
158	351	1856
159	353	1853
160	355	1851
161	357	1849
162	359	1846
163	361	1844
164	363	1841
165	366	1839
166	368	1836
167	370	1834
168	372	1831
169	374	1829
170	376	1826
171	378	1823
172	381	1821
173	383	1819
174	385	1816
175	387	1814
176	389	1811
177	391	1809
178	393	1806
179	396	1804
180	398	1801
181	400	1799
182	402	1796
183	404	1794
184	406	1791
185	408	1789
186	411	1787
187	413	1784
188	415	1782
189	417	1780
190	419	1777
191	421	1774
192	423	1772
193	425	1769
194	428	1767
195	430	1765
196	432	1762
197	434	1760
198	436	1758
199	438	1755
200	440	1752
201	443	1750
202	445	1747
203	447	1745
204	449	1743
205	451	1740
206	453	1738
207	455	1736
208	458	1733
209	460	1731
210	462	1729
211	464	1726
212	466	1723
213	468	1721
214	470	1719
215	472	1716
216	475	1714
217	477	1712
218	479	1709
219	481	1707
220	483	1705
221	485	1702
222	488	1700
223	490	1697
224	492	1695
225	494	1692
226	496	1690
227	498	1688
228	500	1685
229	502	1683
230	505	1681
231	507	1678
232	509	1676
233	511	1673
234	513	1671
235	515	1669
236	517	1666
237	519	1664
238	523	1668
239	526	1666
240	528	1665
241	530	1662
242	532	1660
243	535	1658
244	537	1655
245	539	1653
246	541	1651
247	544	1649
248	546	1647
249	548	1646
250	550	1643
251	553	1641
252	555	1640
253	557	1637
254	559	1635
255	561	1633
256	564	1631
257	566	1629
258	569	1628
259	571	1626
260	573	1623
261	576	1622
262	578	1620
263	580	1618
264	582	1616
265	585	1614
266	587	1612
267	589	1610
268	591	1608
269	594	1606
270	596	1604
271	598	1602
272	600	1599
273	603	1598
274	605	1596
275	607	1593
276	609	1591
277	612	1589
278	614	1587
279	616	1585
280	618	1582
281	620	1580
282	623	1579
283	625	1576
284	627	1574
285	629	1572
286	632	1570
287	634	1567
288	636	1566
289	638	1564
290	641	1561
291	643	1560
292	645	1557
293	647	1555
294	649	1552
295	651	1550
296	654	1548
297	656	1546
298	658	1543
299	660	1541
300	662	1538
301	664	1536
302	666	1534
303	669	1531
304	671	1529
305	673	1526
306	675	1524
307	677	1522
308	679	1520
309	681	1517
310	684	1515
311	686	1513
312	688	1511
313	690	1509
314	692	1506
315	694	1504
316	697	1502
317	699	1500
318	701	1498
319	703	1495
320	706	1493
321	708	1491
322	710	1489
323	712	1486
324	714	1484
325	716	1482
326	719	1480
