iter	Passed	Remaining
0	3	3591
1	6	3384
2	10	3484
3	13	3256
4	16	3238
5	18	3147
6	21	3080
7	25	3146
8	28	3124
9	32	3234
10	35	3198
11	38	3140
12	40	3091
13	44	3124
14	47	3101
15	50	3081
16	52	3057
17	56	3108
18	59	3088
19	62	3066
20	66	3082
21	69	3082
22	71	3053
23	75	3053
24	77	3033
25	80	3019
26	84	3046
27	87	3028
28	90	3016
29	92	2995
30	95	2987
31	98	2973
32	101	2960
33	105	2989
34	107	2976
35	110	2965
36	113	2955
37	116	2943
38	118	2927
39	121	2918
40	124	2917
41	127	2902
42	130	2895
43	132	2888
44	135	2877
45	138	2873
46	143	2905
47	146	2899
48	149	2899
49	152	2891
50	154	2881
51	157	2876
52	160	2863
53	163	2862
54	166	2852
55	168	2841
56	172	2854
57	175	2845
58	178	2847
59	181	2841
60	184	2839
61	187	2830
62	190	2829
63	192	2821
64	195	2812
65	198	2805
66	201	2803
67	204	2802
68	207	2794
69	210	2792
70	213	2789
71	215	2781
72	218	2776
73	221	2771
74	224	2769
75	227	2759
76	230	2768
77	234	2768
78	237	2763
79	240	2761
80	242	2754
81	246	2755
82	249	2757
83	252	2750
84	254	2742
85	257	2741
86	261	2742
87	264	2742
88	267	2736
89	270	2734
90	273	2730
91	276	2726
92	279	2723
93	281	2717
94	284	2713
95	288	2716
96	291	2714
97	294	2707
98	297	2707
99	300	2703
100	303	2698
101	306	2696
102	310	2700
103	313	2697
104	316	2699
105	320	2699
106	322	2694
107	326	2692
108	328	2688
109	332	2686
110	334	2681
111	339	2691
112	342	2686
113	346	2689
114	349	2686
115	352	2685
116	356	2687
117	359	2685
118	361	2679
119	365	2681
120	368	2679
121	371	2676
122	375	2674
123	378	2671
124	381	2671
125	385	2670
126	387	2665
127	391	2667
128	394	2664
129	398	2665
130	400	2659
131	403	2655
132	406	2651
133	410	2652
134	413	2649
135	416	2644
136	419	2640
137	422	2638
138	425	2638
139	428	2634
140	431	2631
141	434	2626
142	437	2620
143	440	2615
144	443	2613
145	446	2611
146	449	2607
147	452	2605
148	456	2605
149	460	2611
150	463	2606
151	466	2603
152	469	2598
153	472	2595
154	475	2590
155	477	2585
156	481	2584
157	484	2580
158	487	2577
159	491	2578
160	494	2574
161	496	2568
162	500	2568
163	503	2567
164	507	2565
165	510	2564
166	513	2563
167	516	2558
168	520	2557
169	522	2553
170	526	2550
171	528	2546
172	532	2544
173	534	2539
174	539	2542
175	542	2538
176	545	2534
177	548	2533
178	551	2529
179	554	2524
180	556	2520
181	559	2516
182	563	2514
183	567	2517
184	571	2516
185	574	2514
186	577	2511
187	580	2508
188	583	2503
189	586	2500
190	589	2496
191	592	2493
192	595	2488
193	598	2486
194	601	2482
195	604	2477
196	607	2476
197	611	2475
198	614	2471
199	617	2468
200	620	2465
201	622	2460
202	626	2459
203	629	2455
204	631	2450
205	635	2450
206	639	2450
207	642	2445
208	645	2442
209	648	2438
210	650	2433
211	654	2432
212	657	2428
213	660	2424
214	662	2420
215	665	2417
216	668	2413
217	672	2410
218	676	2411
219	678	2407
220	682	2405
221	685	2401
222	688	2398
223	690	2393
224	694	2392
225	697	2388
226	700	2384
227	703	2382
228	706	2378
229	709	2374
230	712	2372
